xs:anyURI
xs:base64Binary
xs:boolean
xs:byte
xs:date
xs:dateTime
xs:decimal
xs:double
xs:duration
xs:float
xs:gDay
xs:gMonth
xs:gMonthDay
xs:gYear
xs:gYearMonth
xs:hexBinary
xs:int
xs:integer
xs:long
xs:negativeInteger
xs:nonNegativeInteger
xs:nonPositiveInteger
xs:normalizedString
xs:positiveInteger
xs:short
xs:string
xs:time
xs:token
xs:unsignedLong
xs:unsignedInt
xs:unsignedShort
xs:unsignedByte
